building_id,meter,timestamp,meter_reading
49,0,2016-01-01 00:00:00,0.0
141,0,2016-01-01 00:00:00,20.648000000000003
168,0,2016-01-01 00:00:00,463.8
168,1,2016-01-01 00:00:00,51.557
168,3,2016-01-01 00:00:00,184.635
538,0,2016-01-01 00:00:00,2.48
602,0,2016-01-01 00:00:00,237.85
614,0,2016-01-01 00:00:00,107.5
754,2,2016-01-01 00:00:00,0.0
793,0,2016-01-01 00:00:00,898.31
793,1,2016-01-01 00:00:00,0.0
793,3,2016-01-01 00:00:00,751.51
838,0,2016-01-01 00:00:00,50.0
874,0,2016-01-01 00:00:00,0.0
874,1,2016-01-01 00:00:00,0.0
947,0,2016-01-01 00:00:00,0.0
1006,0,2016-01-01 00:00:00,59.0
1050,0,2016-01-01 00:00:00,18.165
1323,0,2016-01-01 00:00:00,177.0
1323,1,2016-01-01 00:00:00,0.0
1323,3,2016-01-01 00:00:00,1407.92
1380,0,2016-01-01 00:00:00,394.35
1380,1,2016-01-01 00:00:00,8.9635
49,0,2016-01-01 01:00:00,0.0
141,0,2016-01-01 01:00:00,41.2959
168,0,2016-01-01 01:00:00,440.84
168,1,2016-01-01 01:00:00,79.4808
168,3,2016-01-01 01:00:00,184.635
538,0,2016-01-01 01:00:00,3.24
602,0,2016-01-01 01:00:00,221.25
614,0,2016-01-01 01:00:00,107.75
754,2,2016-01-01 01:00:00,43.2803
793,0,2016-01-01 01:00:00,910.33
793,1,2016-01-01 01:00:00,0.0
793,3,2016-01-01 01:00:00,755.14
838,0,2016-01-01 01:00:00,50.0
874,0,2016-01-01 01:00:00,437.0
874,1,2016-01-01 01:00:00,270.798
947,0,2016-01-01 01:00:00,46.0
1006,0,2016-01-01 01:00:00,56.75
1050,0,2016-01-01 01:00:00,18.125
1323,0,2016-01-01 01:00:00,180.0
1323,1,2016-01-01 01:00:00,0.0
1323,3,2016-01-01 01:00:00,1330.88
1380,0,2016-01-01 01:00:00,390.575
1380,1,2016-01-01 01:00:00,25.7946
49,0,2016-01-01 02:00:00,0.0
141,0,2016-01-01 02:00:00,41.2959
168,0,2016-01-01 02:00:00,425.25
168,1,2016-01-01 02:00:00,77.23
168,3,2016-01-01 02:00:00,184.635
538,0,2016-01-01 02:00:00,2.76
